loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.651141798968549068e+01,9.970981694131157980e-01,3.084279280944669921e+01,9.793943009296689484e-01
1.000000000000000021e-02,4.479430149410880801e+01,9.943479484641031263e-01,2.740059326860038524e+01,9.728491041216468238e-01
2.000000000000000042e-02,4.622115685719349187e+01,9.969838076602879351e-01,2.654040123878528590e+01,9.602292755047164841e-01
2.999999999999999889e-02,2.125410157056212768e+01,9.522821329336580432e-01,2.356092054409430858e+01,9.426660823014623158e-01
4.000000000000000083e-02,4.322105219589388270e+01,9.969020184289362208e-01,2.594806541972872083e+01,9.449762881390203484e-01
5.000000000000000278e-02,4.501158955433795938e+01,9.946716035183396087e-01,2.482734119169492004e+01,9.228043525211100384e-01
5.999999999999999778e-02,3.759330027179171196e+01,9.955995073161012510e-01,2.461916909503483453e+01,9.397703057432197360e-01
7.000000000000000666e-02,3.334136080395676061e+01,9.940896930678664312e-01,2.335014476952571982e+01,9.034214014361201528e-01
8.000000000000000167e-02,3.116665968731460623e+01,9.919943942490105915e-01,2.109128730427815768e+01,8.669783855157262575e-01
8.999999999999999667e-02,3.883655783846262466e+01,9.957644010043076310e-01,2.118800153333632608e+01,8.670416367085579390e-01
1.000000000000000056e-01,4.030630678910942066e+01,9.958519191308532470e-01,2.271830753927433477e+01,9.008251565813338857e-01
1.100000000000000006e-01,2.892291279615161770e+01,9.739135572757403603e-01,2.244957847488039704e+01,8.980479533431284800e-01
1.199999999999999956e-01,3.542739535560667719e+01,9.921728545733701221e-01,1.975400842347445263e+01,8.404985636269034499e-01
1.300000000000000044e-01,2.770975968212681551e+01,9.840047954524339113e-01,2.012605847200558884e+01,8.847072482104774149e-01
1.400000000000000133e-01,2.430199889588015694e+01,8.554424536653575384e-01,1.917070989475524101e+01,8.319742683795561256e-01
1.499999999999999944e-01,2.952031270174939692e+01,9.891714925584960127e-01,2.238272542222324191e+01,8.473008484534362283e-01
1.600000000000000033e-01,2.288612323186364250e+01,8.448234641056380223e-01,2.017926778871953175e+01,8.236744294305342606e-01
1.700000000000000122e-01,2.132408724996187388e+01,9.368020940572886479e-01,1.776400797328887649e+01,7.588059116574070728e-01
1.799999999999999933e-01,2.141573365691946762e+01,9.465725067464604292e-01,1.866519320588780317e+01,7.748957264811204837e-01
1.900000000000000022e-01,2.300534043886003488e+01,7.768696310011912187e-01,1.905695439295690363e+01,7.533347166645448789e-01
2.000000000000000111e-01,2.748147134536704073e+01,9.753325283280661617e-01,1.850831092103087272e+01,7.899079929087713392e-01
2.099999999999999922e-01,2.734132797003513105e+01,9.826967912730600885e-01,1.985709350250885308e+01,8.204306718446391367e-01
2.200000000000000011e-01,3.073299573168272758e+01,9.877827098135150141e-01,1.699913321793560783e+01,7.888625660145953677e-01
2.300000000000000100e-01,2.898388008940186111e+01,9.860532943041746545e-01,1.692697166449671187e+01,7.027214816374984796e-01
2.399999999999999911e-01,1.917873446729517539e+01,7.336686925903583845e-01,1.740077867776297538e+01,7.114026965067163921e-01
2.500000000000000000e-01,2.020965564671357484e+01,8.085581704645861123e-01,1.759342076946022004e+01,7.126730712212996366e-01
2.600000000000000089e-01,2.280631957946384603e+01,7.718677234958178923e-01,1.848332320492022518e+01,7.530358377242982737e-01
2.700000000000000178e-01,2.093543567341295741e+01,9.209685196066922375e-01,1.652928878312540917e+01,6.880456283541487306e-01
2.800000000000000266e-01,2.299464925178061492e+01,8.454928970401525135e-01,1.691250111612411189e+01,6.767822271962133929e-01
2.899999999999999800e-01,2.326756503130298270e+01,7.755766054808475030e-01,1.781731442528198173e+01,7.173161529412235282e-01
2.999999999999999889e-01,2.087423592708600495e+01,8.138227103552889696e-01,1.628442842291817172e+01,6.572544355514972070e-01
