loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.810151490422265397e+01,9.945601430377983831e-01,3.119259843466941717e+01,8.717707146456362688e-01
1.000000000000000021e-02,3.920498891306053935e+01,9.883294812594702883e-01,2.912576524278998846e+01,8.611384420179352128e-01
2.000000000000000042e-02,4.184594133642231384e+01,9.899074990009243402e-01,2.906879301248574876e+01,8.588740557176199886e-01
2.999999999999999889e-02,3.979264702717764379e+01,9.860346328507726410e-01,2.675530592338638414e+01,8.463908312535766143e-01
4.000000000000000083e-02,1.895006784000779021e+01,8.954115841687889654e-01,2.744734465638074994e+01,8.485691987686768689e-01
5.000000000000000278e-02,3.973674871048103086e+01,9.852878567024342393e-01,2.609010502836587975e+01,8.345164450390819555e-01
5.999999999999999778e-02,3.395311031527847945e+01,9.618901421075142233e-01,2.603540786519582895e+01,8.309481067850912339e-01
7.000000000000000666e-02,3.374031061024530942e+01,9.617770233170096494e-01,2.351548458480025516e+01,8.067065278675200624e-01
8.000000000000000167e-02,3.661910497377184726e+01,9.763262332062406790e-01,2.369915701261051666e+01,8.097127227853829767e-01
8.999999999999999667e-02,3.323242739488102870e+01,9.566449485124470797e-01,2.317963652129373386e+01,7.982691852929043597e-01
1.000000000000000056e-01,3.353008572374848484e+01,9.555517309107046664e-01,2.252550091471998783e+01,7.960792117307340376e-01
1.100000000000000006e-01,3.172058891184034479e+01,9.477663488761006727e-01,2.198020322184523678e+01,7.780822996660411439e-01
1.199999999999999956e-01,3.187308412010341385e+01,9.505870094015692606e-01,2.297298984331031946e+01,7.952168745955572327e-01
1.300000000000000044e-01,3.087419747938226777e+01,9.356658327888638382e-01,2.185514718620525798e+01,7.772833495759762235e-01
1.400000000000000133e-01,3.179477505294144279e+01,9.470976106346892243e-01,2.110056919147039522e+01,7.593581863245595365e-01
1.499999999999999944e-01,1.891401191331550535e+01,8.570052352694226272e-01,2.134303950616459744e+01,7.622900902695630698e-01
1.600000000000000033e-01,3.183898345793162221e+01,9.375508450155517481e-01,2.148061939584023605e+01,7.609816369770278088e-01
1.700000000000000122e-01,3.097952087462461890e+01,9.307451464529578056e-01,2.098370560244006100e+01,7.484312422993940617e-01
1.799999999999999933e-01,1.900739757472130265e+01,8.515230355030176668e-01,2.108592763716665175e+01,7.491179064104377394e-01
1.900000000000000022e-01,3.057038209845915233e+01,9.245385883690392381e-01,2.038020010078793831e+01,7.292486747833760719e-01
2.000000000000000111e-01,2.972300724534957794e+01,9.105665172064886237e-01,1.990971270079503341e+01,7.225208543715000431e-01
2.099999999999999922e-01,2.976304643597348232e+01,9.087396430992976670e-01,1.917980335215831289e+01,6.902991198912292736e-01
2.200000000000000011e-01,1.937854941292270183e+01,8.126246352589224786e-01,1.971134251013970839e+01,7.132265665619462736e-01
2.300000000000000100e-01,2.977928207603342869e+01,9.140683161106920585e-01,1.925910253014123796e+01,7.041271253009747655e-01
2.399999999999999911e-01,2.968508029879688337e+01,9.062951140849716536e-01,1.980812377827622228e+01,7.112849673572344544e-01
2.500000000000000000e-01,1.610670960489724379e+01,7.607623829671698035e-01,1.819141666378762423e+01,6.638736500036052091e-01
2.600000000000000089e-01,2.840539005004288242e+01,8.841395088562774562e-01,1.921170372482484368e+01,6.803988038333274035e-01
2.700000000000000178e-01,2.842839089776958517e+01,8.736801964321533331e-01,1.895279969985757162e+01,6.841592071345748982e-01
2.800000000000000266e-01,2.860992445826766684e+01,8.835732491735123206e-01,1.826328484072139346e+01,6.597293481099411050e-01
2.899999999999999800e-01,2.932986751226970767e+01,8.931163341054294547e-01,1.832547860300392628e+01,6.602476669070816984e-01
2.999999999999999889e-01,1.939735897279880561e+01,8.056593957192549338e-01,1.807984878209978419e+01,6.594067520950376293e-01
