loss_rate,wavelet_psnr,wavelet_ssim,dct_psnr,dct_ssim
0.000000000000000000e+00,4.693423005731287390e+01,9.891894170043226131e-01,3.431574315132087349e+01,9.088567997139170851e-01
1.000000000000000021e-02,3.739758380010003691e+01,9.833736255565522777e-01,3.270843959928767219e+01,9.023293504782928798e-01
2.000000000000000042e-02,4.211350017240803822e+01,9.837539534457441226e-01,3.029733693566805997e+01,8.927614023122050213e-01
2.999999999999999889e-02,4.039991733290167986e+01,9.835263253505631686e-01,3.076862477607467383e+01,8.904829381357507456e-01
4.000000000000000083e-02,3.923765784968611570e+01,9.823496523117527524e-01,2.998190508036389090e+01,8.842352825940763550e-01
5.000000000000000278e-02,3.584574782786759073e+01,9.732722417236393531e-01,2.810837535281238075e+01,8.765852622796277416e-01
5.999999999999999778e-02,3.512132996473304303e+01,9.664376548167751269e-01,2.732656146594612423e+01,8.673228461982209758e-01
7.000000000000000666e-02,1.723104922063200561e+01,8.770030267116797340e-01,2.678227873524630454e+01,8.528125210013076662e-01
8.000000000000000167e-02,3.587480002570459447e+01,9.704834008590177419e-01,2.745678597230930862e+01,8.560480055490988782e-01
8.999999999999999667e-02,3.246893552336798194e+01,9.509068962305714523e-01,2.634259030729668893e+01,8.449449338520372832e-01
1.000000000000000056e-01,3.317954121554365088e+01,9.595720359000919908e-01,2.650493948467304151e+01,8.523772149470318915e-01
1.100000000000000006e-01,3.371857659800505047e+01,9.521253007576039318e-01,2.546705905431971928e+01,8.391423910831251609e-01
1.199999999999999956e-01,3.261754773487768944e+01,9.507613803986085799e-01,2.507014221868983483e+01,8.254383223172435669e-01
1.300000000000000044e-01,3.300430289882489632e+01,9.558533121262685617e-01,2.468364169002314412e+01,8.228080272903465220e-01
1.400000000000000133e-01,3.313960230325545098e+01,9.521699290690747164e-01,2.412847246109402022e+01,8.135584327353949652e-01
1.499999999999999944e-01,3.499958384875684914e+01,9.641633518376208078e-01,2.411635544182617252e+01,8.086876345161879698e-01
1.600000000000000033e-01,3.142790218447469286e+01,9.318762146793123646e-01,2.350543400247661907e+01,7.978863410056602490e-01
1.700000000000000122e-01,3.220102114640437208e+01,9.487381536286997319e-01,2.346907074373140389e+01,7.990636675252439369e-01
1.799999999999999933e-01,3.210877700315217709e+01,9.431222074995438964e-01,2.341981116685845521e+01,7.899754385805874968e-01
1.900000000000000022e-01,3.046660224454085153e+01,9.246665421577556776e-01,2.377417922764734826e+01,7.975972470910613898e-01
2.000000000000000111e-01,3.058583972286299968e+01,9.300080632227277766e-01,2.261427114526947690e+01,7.705819101723071496e-01
2.099999999999999922e-01,3.034028461672754773e+01,9.270003859866098317e-01,2.309490956153550911e+01,7.823465166361276424e-01
2.200000000000000011e-01,2.835745881818247227e+01,8.911502615465688448e-01,2.220948552049172520e+01,7.648606681480697445e-01
2.300000000000000100e-01,2.901611836004587275e+01,9.076763175737200262e-01,2.236038069546797047e+01,7.551320866181084890e-01
2.399999999999999911e-01,3.145571521139578408e+01,9.356508761580998312e-01,2.272517489619480813e+01,7.662586186428280710e-01
2.500000000000000000e-01,3.001317166933784009e+01,9.161293563285992647e-01,2.181814020500845075e+01,7.509322226801208311e-01
2.600000000000000089e-01,2.910852170363452984e+01,8.983406051066270548e-01,2.178311946503804464e+01,7.429753246716276349e-01
2.700000000000000178e-01,2.788995304593359492e+01,8.868225645079189645e-01,2.167029535440555321e+01,7.487311798847042787e-01
2.800000000000000266e-01,2.936928288344196858e+01,9.045125239770097636e-01,2.200140368598029283e+01,7.389384108991574607e-01
2.899999999999999800e-01,2.897929793156492906e+01,8.984755587412921463e-01,2.175040018494197369e+01,7.363345454942445967e-01
2.999999999999999889e-01,2.822651559602653748e+01,8.824812029392724577e-01,2.176534322513176534e+01,7.442466724199073846e-01
